song,album,track
I Saw Her Standing There,Please Please Me,1
Misery,Please Please Me,2
Anna (Go To Him),Please Please Me,3
Chains,Please Please Me,4
Boys,Please Please Me,5
Ask Me Why,Please Please Me,6
Please Please Me,Please Please Me,7
Love Me Do,Please Please Me,8
P.S. I Love You,Please Please Me,9
Baby It's You,Please Please Me,10
Do You Want To Know A Secret?,Please Please Me,11
A Taste Of Honey,Please Please Me,12
There's A Place,Please Please Me,13
Twist And Shout,Please Please Me,14
It Won't Be Long,With The Beatles,1
All I've Got To Do,With The Beatles,2
All My Loving,With The Beatles,3
Don't Bother Me,With The Beatles,4
Little Child,With The Beatles,5
Till There Was You,With The Beatles,6
Please Mister Postman,With The Beatles,7
Roll Over Beethoven,With The Beatles,8
Hold Me Tight,With The Beatles,9
You Really Got A Hold On Me,With The Beatles,10
I Wanna Be Your Man,With The Beatles,11
Devil In Her Heart,With The Beatles,12
Not A Second Time,With The Beatles,13
Money (That's What I Want),With The Beatles,14
A Hard Day's Night,A Hard Day's Night,1
I Should Have Known Better,A Hard Day's Night,2
If I Fell,A Hard Day's Night,3
I'm Happy Just To Dance With You,A Hard Day's Night,4
And I Love Her,A Hard Day's Night,5
Tell Me Why,A Hard Day's Night,6
Can't Buy Me Love,A Hard Day's Night,7
Any Time At All,A Hard Day's Night,8
I'll Cry Instead,A Hard Day's Night,9
Things We Said Today,A Hard Day's Night,10
When I Get Home,A Hard Day's Night,11
You Can't Do That,A Hard Day's Night,12
I'll Be Back,A Hard Day's Night,13
No Reply,Beatles For Sale,1
I'm A Loser,Beatles For Sale,2
Baby's In Black,Beatles For Sale,3
Rock And Roll Music,Beatles For Sale,4
I'll Follow The Sun,Beatles For Sale,5
Mr. Moonlight,Beatles For Sale,6
Kansas City | Hey-Hey-Hey-Hey,Beatles For Sale,7
Eight Days A Week,Beatles For Sale,8
Words Of Love,Beatles For Sale,9
Honey Don't,Beatles For Sale,10
Every Little Thing,Beatles For Sale,11
I Don't Want To Spoil The Party,Beatles For Sale,12
What You're Doing,Beatles For Sale,13
Everybody's Trying To Be My Baby,Beatles For Sale,14
Help!,Help!,1
The Night Before,Help!,2
You've Got To Hide Your Love Away,Help!,3
I Need You,Help!,4
Another Girl,Help!,5
You're Going To Lose That Girl,Help!,6
Ticket To Ride,Help!,7
Act Naturally,Help!,8
It's Only Love,Help!,9
You Like Me Too Much,Help!,10
Tell Me What You See,Help!,11
I've Just Seen A Face,Help!,12
Yesterday,Help!,13
Dizzy Miss Lizzy,Help!,14
Drive My Car,Rubber Soul,1
Norwegian Wood,Rubber Soul,2
You Won't See Me,Rubber Soul,3
Nowhere Man,Rubber Soul,4
Think For Yourself,Rubber Soul,5
The Word,Rubber Soul,6
Michelle,Rubber Soul,7
What Goes On,Rubber Soul,8
Girl,Rubber Soul,9
I'm Looking Through You,Rubber Soul,10
In My Life,Rubber Soul,11
Wait,Rubber Soul,12
If I Needed Someone,Rubber Soul,13
Run For Your Life,Rubber Soul,14
Taxman,Revolver,1
Eleanor Rigby,Revolver,2
I'm Only Sleeping,Revolver,3
Love You To,Revolver,4
"Here, There And Everywhere",Revolver,5
Yellow Submarine,Revolver,6
She Said She Said,Revolver,7
Good Day Sunshine,Revolver,8
And Your Bird Can Sing,Revolver,9
For No One,Revolver,10
Doctor Robert,Revolver,11
I Want To Tell You,Revolver,12
Got To Get You Into My Life,Revolver,13
Tomorrow Never Knows,Revolver,14
Sgt. Pepper's Lonely Hearts Club Band,Sgt. Pepper's Lonely Hearts Club Band,1
With A Little Help From My Friends,Sgt. Pepper's Lonely Hearts Club Band,2
Lucy In The Sky With Diamonds,Sgt. Pepper's Lonely Hearts Club Band,3
Getting Better,Sgt. Pepper's Lonely Hearts Club Band,4
Fixing A Hole,Sgt. Pepper's Lonely Hearts Club Band,5
She's Leaving Home,Sgt. Pepper's Lonely Hearts Club Band,6
Being For The Benefit Of Mr Kite!,Sgt. Pepper's Lonely Hearts Club Band,7
Within You Without You,Sgt. Pepper's Lonely Hearts Club Band,8
When I'm Sixty-Four,Sgt. Pepper's Lonely Hearts Club Band,9
Lovely Rita,Sgt. Pepper's Lonely Hearts Club Band,10
Good Morning Good Morning,Sgt. Pepper's Lonely Hearts Club Band,11
Sgt. Pepper's Lonely Hearts Club Band (Reprise),Sgt. Pepper's Lonely Hearts Club Band,12
A Day In The Life,Sgt. Pepper's Lonely Hearts Club Band,13
Magical Mystery Tour,Magical Mystery Tour,1
The Fool On The Hill,Magical Mystery Tour,2
Flying,Magical Mystery Tour,3
Blue Jay Way,Magical Mystery Tour,4
Your Mother Should Know,Magical Mystery Tour,5
I Am The Walrus,Magical Mystery Tour,6
"Hello, Goodbye",Magical Mystery Tour,7
Strawberry Fields Forever,Magical Mystery Tour,8
Penny Lane,Magical Mystery Tour,9
Baby You're A Rich Man,Magical Mystery Tour,10
All You Need Is Love,Magical Mystery Tour,11
Back In The U.S.S.R.,The Beatles,1-1
Dear Prudence,The Beatles,1-2
Glass Onion,The Beatles,1-3
"Ob-La-Di, Ob-La-Da",The Beatles,1-4
Wild Honey Pie,The Beatles,1-5
The Continuing Story Of Bungalow Bill,The Beatles,1-6
While My Guitar Gently Weeps,The Beatles,1-7
Happiness Is A Warm Gun,The Beatles,1-8
Martha My Dear,The Beatles,1-9
I'm So Tired,The Beatles,1-10
