song,album,year,bpm,duration,vocal,harmony,database_url,official_youtube,harmony_youtube,instruments,guitar1_youtube,guitar2_youtube,bass_youtube,instrumental_youtube,bass_tab,spotify,lyrics,lyrics_chord
I Saw Her Standing There,Please Please Me,1962,160.0,175856,Paul,John,https://beatlesdata.info/1/01_isawherstandingthere.html,cADFS0NU6As,cj1z69kCHNY,325・Duo Jet・ヘフナー,p9KfNRTGf3A,iXVGJYDkYbs,Dg4n-o7oa9s,VNchFGmF-jI,https://www.songsterr.com/a/wsa/beatles-i-saw-her-standing-there-bass-tab-s92520,3KiexfmhxHvG5IgAElmTkd,"(1,2,3,4!)<br><br>Well, she was just seventeen<br>You know what I mean<br>And the way she looked was way beyond compare<br>So how could I dance with another (Ooh)<br>When I saw her standing there<br><br>Well she looked at me, and I, I could see<br>That before too long I'd fall in love with her<br>She wouldn't dance with another (Whooh)<br>When I saw her standing there<br><br>Well, my heart went boom<br>When I crossed that room<br>And I held her hand in mine<br><br>Whoah, we danced through the night<br>And we held each other tight<br>And before too long I fell in love with her<br>Now I'll never dance with another (Whooh)<br>When I saw her standing there<br><br>Well, my heart went boom<br>When I crossed that room<br>And I held her hand in mine<br><br>Whoah, we danced through the night<br>And we held each other tight<br>And before too long I fell in love with her<br>Now I'll never dance with another (Whooh)<br>Since I saw her standing there<br>Oh since I saw her standing there<br>Oh since I saw her standing there",
Misery,Please Please Me,1963,134.0,110236,Paul・John,,https://beatlesdata.info/1/02_misery.html,qhbcN3ew9z0,,J-160E・Duo Jet・ヘフナー・ピアノ,,,fUpv2TRlABA,UX1v-XisfkY,https://www.songsterr.com/a/wsa/beatles-misery-bass-tab-s26432,40qXGg5nRbcWzcFb26KWkQ,"The world is treating me bad... Misery<br><br>I'm the kind of guy<br>Who never used to cry<br>The world is treating me bad... Misery!<br><br>I've lost her now for sure<br>I won't see her no more<br>It's gonna be a drag... Misery!<br><br>I'll remember all the little things we've done<br>Can't she see she'll always be the only one, only one<br><br>Send her back to me<br>Cos everyone can see<br>Without her I will be in misery<br><br>I'll remember all the little things we've done<br>She'll remember and she'll miss her only one, lonely one<br><br>Send her back to me<br>Cos everyone can see<br>Without her I will be in misery (Oh oh oh)<br>In misery (Ooh ee ooh ooh)<br>My misery (La la la la la la)",
Anna (Go To Him),Please Please Me,1963,109.0,177632,John,Paul・George,https://beatlesdata.info/1/03_anna.html,b3zNKWyLfus,lVoV_eX8OnQ,J-160E・Duo Jet・ヘフナー,qUUWbjIiYmY,,M80ZOSHUvVY,7-51b5RXCo8,https://www.songsterr.com/a/wsa/beatles-anna-go-to-him-bass-tab-s22721,2baEFuU0gQon0hgVRioI1o,"Anna<br>You come and ask me, girl<br>To set you free, girl<br>You say he loves you more than me<br>So I will set you free<br>Go with him (Anna)<br>Go with him (Anna)<br><br>Anna<br>Girl, before you go now<br>I want you to know, now<br>That I still love you so<br>But if he loves you more<br>Go with him<br><br>All of my life<br>I've been searching for a girl<br>To love me like I love you<br>Oh, now, but every girl I've ever had<br>Breaks my heart and leave me sad<br>What am I, what am I supposed to do<br><br>Anna<br>Just one more thing, girl<br>You give back your ring to me, and I will set you free<br>Go with him<br><br>All of my life<br>I've been searching for a girl<br>To love me like I love you<br>But let me tell you now<br>But every girl I've ever had<br>Breaks my heart and leave me sad<br>What am I, what am I supposed to do<br><br>Anna<br>Just one more thing, girl<br>You give back your ring to me,<br>And I will set you free<br>Go with him<br><br>(Anna) Go with him<br>(Anna) You can go with him, girl<br>(Anna) Go with him",
Chains,Please Please Me,1963,130.0,146573,George,Paul・John,https://beatlesdata.info/1/04_chains.html,rJOhavaeJYk,bdRTlePJ0lI,325・Duo Jet・ヘフナー・ハーモニカ,w_K9VO7KB-0,qUUWbjIiYmY,EGwNaF_P0zQ,DVhatLAd0Tg,https://www.songsterr.com/a/wsa/beatles-chains-bass-tab-s22731,3JQWLa88R35d971o5bIImd,"Chains, my baby's got me locked up in chains<br>And they ain't the kind that you can see<br>Whoa, oh, these chains of love got a hold on me, yeah<br><br>Chains, well I can't break away from these chains<br>Can't run around, cos I'm not free<br>Whoa, oh, these chains of love won't let me be, yeah<br><br>I wanna tell you, pretty baby<br>I think you're fine<br>I'd like to love you<br>But, darling, I'm imprisoned by these...<br><br>Chains, my baby's got me locked up in chains<br>And they ain't the kind that you can see<br>Oh, oh, these chains of love got a hold on me<br><br>Please believe me when I tell you<br>Your lips are sweet<br>I'd like to kiss them<br>But I can't break away from all of these...<br><br>Chains, my baby's got me locked up in chains<br>And they ain't the kind that you can see<br>Whoa, oh, these chains of love got a hold on me, yeah<br><br>Chains, chains of love...",
Boys,Please Please Me,1963,145.0,147565,Ringo,John・Paul・George,https://beatlesdata.info/1/05_boys.html,Qr8OuW5JJgQ,yPrlkxc31aU,325・Duo Jet・ヘフナー,3cceJ6lrW-E,EpXWW7aj8H8,Rbp4AHTXfbE,fXBI2gZHL-4,https://www.songsterr.com/a/wsa/beatles-boys-bass-tab-s22729,7JxGM1R32ZqfwZou3VtnTg,"I been told when a boy kiss a girl<br>Take a trip around the world<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)<br><br>My girl says when I kiss her lips<br>Gets a thrill through her fingertips<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)<br><br>Well, I talk about boys<br>Don't ya know I mean boys<br>Well, I talk about boys, now<br>Aaahhh, boys<br>Well, I talk about boys, now<br>What a bundle of joy!<br>(Alright, George!)<br><br>My girl says when I kiss her lips<br>Gets a thrill through her fingertips<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey (Bop shuop, m'bop bop shuop)<br>Hey, hey, (Bop shuop) yeah, she say ya do (Bop shuop)<br><br>Well, I talk about boys<br>Don't ya know I mean boys<br>Well, I talk about boys, now<br>Aaahhh, boys<br>Well, I talk about boys, now<br>What a bundle of joy!<br><br>Oh, oh, ah yeah boys<br>Don't ya know I mean boys?<br>Ooh, boys<br>Ah ha<br>Well I talk about boys now",
Ask Me Why,Please Please Me,1962,134.0,147826,John,Paul・George,https://beatlesdata.info/1/06_askmewhy.html,2ttGjtfQ7EA,9M7jzvZAdzg,J-160E・Duo Jet・ヘフナー,5FVw1eSWQTU,iwJW_d-Ww7E,k5iaMRPs8Ko,J4urAJ-WoIA,https://www.songsterr.com/a/wsa/beatles-ask-me-why-bass-tab-s22723,7529Z6b1rlGZFFPWjHPeV5,"I love you, 'cause you tell me things I want to know<br>And it's true that it really only goes to show<br>That I know that I, I, I, I<br>Should never, never, never be blue<br><br>Now you're mine, my happiness still makes me cry<br>And in time, you'll understand the reason why<br>If I cry, it's not because I'm sad<br>But you're the only love that I've ever had<br><br>I can't believe it's happened to me<br>I can't conceive of any more misery<br><br>Ask me why, I'll say I love you<br>And I'm always thinking of you<br><br>I love you, 'cause you tell me things I want to know<br>And it's true that it really only goes to show<br>That I know that I, I, I, I<br>Should never, never, never be blue<br><br>Ask me why, I'll say I love you<br>And I'm always thinking of you<br><br>I can't believe it's happened to me<br>I can't conceive of any more misery<br><br>Ask me why, I'll say I love you<br>And I'm always thinking of you<br>You, you",
Please Please Me,Please Please Me,1962,137.0,123428,John・Paul,George,https://beatlesdata.info/1/07_pleasepleaseme.html,ip7zr7KQgmY,OeGZ9fLXiR0,J-160E・Duo Jet・ヘフナー・ハーモニカ,ksvfMKXh78M,XVfT9WITDMs,a5DBCGb31dE,Vi-YiYFBjUY,https://www.songsterr.com/a/wsa/beatles-please-please-me-bass-tab-s23712,6EHuOufBeL6vk3TvVJB5qo,"Last night I said these words to my girl<br>I know you never even try, girl<br>C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)<br>Please please me, oh yeah, like I please you<br><br>You don't need me to show the way, love<br>Why do I always have to say ""love""<br>C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)<br>Please please me, oh yeah, like I please you<br><br>I don't wanna sound complaining<br>But you know there's always rain in my heart (In my heart)<br>I do all the pleasing with you, it's so hard to reason<br>With you, oh yeah, why do you make me blue<br><br>Last night I said these words to my girl<br>I know you never even try, girl<br>C'mon (C'mon), c'mon (C'mon), c'mon (C'mon), c'mon (C'mon)<br>Please please me, oh yeah, like I please you<br>(Me) Whoa yeah, like I please you<br>(Me) Whoa yeah, like I please you",
Love Me Do,Please Please Me,1962,147.0,142837,Paul,John,https://beatlesdata.info/1/08_lovemedo.html,LEHmEC9aWis,s3wmTFUdU1E,J-160E・ヘフナー・ハーモニカ・タンバリン,ADepSVCUiYs,,2A_Ype1Bzj0,wH9o80jNcJw,https://www.songsterr.com/a/wsa/beatles-love-me-do-bass-tab-s59466,3VbGCXWRiouAq8VyMYN2MI,"Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br><br>Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br><br>Someone to love<br>Somebody new<br>Someone to love<br>Someone like you<br><br>Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br><br>Love, love me do<br>You know I love you<br>I'll always be true<br>So please, love me do<br>Whoa, love me do<br>Yeah, love me do<br>Whoa, oh, love me do",
P.S. I Love You,Please Please Me,1962,134.0,125805,Paul,John・George,https://beatlesdata.info/1/09_psiloveyou.html,MA5DkiVKSlM,,J-160E・Duo Jet・ヘフナー・マラカス,Z1tO3rm4XKg,_N_OBxnQr0U,Cq2d1jG7XtE,Q2SpscLVwfw,https://www.songsterr.com/a/wsa/beatles-ps-i-love-you-bass-tab-s60310,7Msq9qojB7yORuJvz49iUy,"As I write this letter<br>Send my love to you<br>Remember that I'll always<br>Be in love with you<br><br>Treasure these few words till we're together<br>Keep all my love forever<br>P.S. I love you<br>You, you, you<br><br>I'll be coming home again to you, love<br>And till the day I do, love<br>P.S. I love you<br>You, you, you<br><br>As I write this letter<br>Send my love to you<br>Remember that I'll always<br>Be in love with you<br><br>Treasure these few words till we're together<br>Keep all my love forever<br>P.S. I love you<br>You, you, you<br><br>As I write this letter (Oh)<br>Send my love to you (You know I want you to)<br>Remember that I'll always (Yeah)<br>Be in love with you<br><br>I'll be coming home again to you, love<br>And till the day I do, love<br>P.S. I love you<br>You, you, you<br>You, you, you<br>I love you",
Baby It's You,Please Please Me,1963,112.0,158119,John,Paul・George,https://beatlesdata.info/1/10_babyitsyou.html,AWUTlM6hz0g,,J-160E・Duo Jet・ヘフナー・チェレスタ,tzYlImktmOY,,wTtpzhtf-ko,Pc3wNLQN_Os,https://www.songsterr.com/a/wsa/beatles-baby-its-you-bass-tab-s2880,2VmB1rF9FtfKUmFHDVnq8Q,"Sha la la la la la la la<br>Sha la la la la la la la<br>Sha la la la la la la la<br>Sha la la la la<br><br>It's not the way you smile that touched my heart. (sha la la la la)<br>It's not the way you kiss that tears me apart.<br><br>Uh, oh, many, many, many nights go by,<br>I sit alone at home and I cry over you.<br>What can I do.<br>Can't help myself, 'cause baby, it's you.<br>Baby, it's you.<br><br>You should hear what they say about you, ""cheat,"" ""cheat.""<br>They say, they say you never never never ever been true. (cheat cheat)<br><br>Uh oh,<br>It doesn't matter what they say,<br>I know I'm gonna love you any old way.<br>What can I do, and it's true.<br>Don't want nobody, nobody, 'cause baby, it's you. (sha la la la la la la)<br>Baby, it's you. (sha la la la la la la)<br><br>Uh oh,<br>It doesn't matter what they say,<br>I know I'm gonna love you any old way.<br>What can I do, when it's true.<br>Don't want nobody, nobody, 'cause baby, it's you. (sha la la la la la la)<br>Baby, it's you. (sha la la la la la la)<br>Don't leave me all alone...",
